電影名稱,類型,上映日期,圖片,預告片
蜘蛛人：無家日,"動作,冒險",2021-12-15,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/December2021/4rcLXxAfKTj26DrXufWL-1280x1827.jpg,https://pse.is/3xj8ap
夢想裁縫師,喜劇,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/October2021/fucW2wscZl0GUNqHPUbC-1080x1527.jpg,https://pse.is/3z9r9c
由宇子的天秤,劇情,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/o0PYnfV1IJJwnI3IhPVr-1080x1543.jpg,https://movies.yahoo.com.tw/video/%E7%94%B1%E5%AE%87%E5%AD%90%E7%9A%84%E5%A4%A9%E7%A7%A4-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-135030368.html?movie_id=11643
愛上費加洛,劇情,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/d6yRNLJlyZIO6jCmCxB7-1080x1536.jpg,https://movies.yahoo.com.tw/video/%E6%84%9B%E4%B8%8A%E8%B2%BB%E5%8A%A0%E6%B4%9B-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-133209931.html?movie_id=11670
尋找神話之鳥,紀錄片,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/NrsOwjeWX3QMR3PZXKUL-1080x1543.jpg,https://movies.yahoo.com.tw/video/%E5%B0%8B%E6%89%BE%E7%A5%9E%E8%A9%B1%E4%B9%8B%E9%B3%A5-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-061147942.html?movie_id=11690
電影 K-ON！輕音部,動畫,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/czHF34ELalSqeZ9CpF0B-1080x1385.jpg,https://movies.yahoo.com.tw/video/%E9%9B%BB%E5%BD%B1-k-%E8%BC%95%E9%9F%B3%E9%83%A8-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-075002127.html?movie_id=11694
緣來大飯店,"愛情,喜劇",2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/rFUskqVff6br5ElFFyOU-1080x1545.jpg,https://movies.yahoo.com.tw/
電影版 狂賭之淵2：絕體絕命俄羅斯輪盤,劇情,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/December2021/vOIVk1MnFFEG6wo6aaOu-1080x1543.JPG,https://movies.yahoo.com.tw/video/%E9%9B%BB%E5%BD%B1%E7%89%88-%E7%8B%82%E8%B3%AD%E4%B9%8B%E6%B7%B52-%E7%B5%95%E9%AB%94%E7%B5%95%E5%91%BD%E4%BF%84%E7%BE%85%E6%96%AF%E8%BC%AA%E7%9B%A4-%E5%95%8F%E5%80%99%E8%AA%9E-%E5%AE%8C%E6%95%B4%E9%A0%90%E5%91%8A-090214235.html?movie_id=11759
獵殺414區,"動作,科幻,懸疑/驚悚",2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/w2gTDeRIAfendiquWuUw-1080x1543.jpg,https://movies.yahoo.com.tw/video/%E7%8D%B5%E6%AE%BA414%E5%8D%80-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-164358034.html?movie_id=11760
猛男俱樂部,劇情,2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/November2021/m5lRs3ynm7m6sz4BV3c1-1080x1538.JPG,https://movies.yahoo.com.tw/video/%E7%8C%9B%E7%94%B7%E4%BF%B1%E6%A8%82%E9%83%A8-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-142000623.html?movie_id=11806
作家我就爛,"愛情,喜劇",2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/December2021/xhqa45hKxyMP8IqKJaj2-1080x1542.JPG,https://movies.yahoo.com.tw/video/%E4%BD%9C%E5%AE%B6%E6%88%91%E5%B0%B1%E7%88%9B-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-160312520.html?movie_id=11910
